,index,ground_truth,predicted_A,highest_softmax_A,predicted_B,highest_softmax_B,predicted_C,highest_softmax_C,sparsity_A,sparsity_B,sparsity_C,corr_AB,corr_BC,corr_AC,frob_AB,frob_BC,frob_AC,cos_AB,cos_BC,cos_AC
0,0,16,16,0.8106387257575989,16,0.772424042224884,16,0.6990102529525757,0.669921875,0.3935546875,0.1435546875,0.05907913085401837,0.018959836277803864,0.07710668397811306,3.9088275,6.273572,4.714452,0.3294205,0.048871037,0.30753252
1,1,1,1,0.9009345769882202,1,0.6165106892585754,1,0.7887769341468811,0.46875,0.31640625,0.4765625,0.19954669176936463,0.06347909882906179,0.2611104549438764,6.8260446,6.7458415,2.1783328,0.23412216,0.31225637,0.13311143
2,2,38,38,0.9036620259284973,38,0.9058924913406372,38,0.864964485168457,0.3974609375,0.3515625,0.232421875,0.21396077377413908,0.050468359928631155,0.26308617040426147,4.4717817,3.9557621,3.1966662,0.11258889,0.14257279,0.1317874
3,3,33,33,0.9962344765663147,33,0.99964439868927,33,0.8478569984436035,1.0,1.0,0.267578125,0.13270513723435712,0.006787952112801375,0.12600924624518045,0.04506945,2.5131626,2.5163274,0.27733603,0.17173402,0.16342719
4,4,11,11,0.9851589798927307,11,0.9496152997016907,11,0.9585458040237427,0.8720703125,0.51953125,0.515625,0.009520046102636131,0.03501966321437148,0.039180717479148995,1.4034935,1.5195928,0.8543374,0.4543582,0.30882287,0.3274158
5,5,38,38,0.9266282320022583,38,0.8585395812988281,38,0.8880621194839478,0.4423828125,0.302734375,0.28515625,0.32595020961332005,0.12402772342423658,0.24999802844904429,5.407147,5.29981,2.5710273,0.10537778,0.10321062,0.13608344
6,6,18,18,0.9948719143867493,18,0.9875484704971313,18,0.9716241955757141,0.8671875,0.671875,0.6572265625,0.23646915149087322,0.1487639686555908,0.15860213485472255,0.63927394,0.8686799,0.6549775,0.4810989,0.22416663,0.33200213
7,7,12,12,0.9760264754295349,12,0.9732077717781067,12,0.9738319516181946,0.6044921875,0.5,0.251953125,0.4350219400406239,0.24353322362898952,0.2075234621763531,1.3974388,2.1779742,1.7602069,0.021866309,-0.07204693,0.16986237
8,8,25,25,0.967430591583252,25,0.9536443948745728,25,0.9530854225158691,0.69140625,0.43359375,0.8564453125,0.12922160547479486,0.25761094800633844,0.18701608537388437,2.2705328,2.26767,0.63834214,0.15184662,0.10986001,0.12591985
9,9,35,35,0.952551007270813,35,0.9284883141517639,35,0.7675297856330872,0.7275390625,0.4853515625,0.4658203125,0.160390482157294,0.13316541617355201,0.21508197199185974,1.4084452,1.5064504,0.8169107,-0.014342994,0.07506284,0.14706807
10,10,12,12,0.9088746905326843,12,0.6426560878753662,12,0.6109253168106079,0.349609375,0.2529296875,0.044921875,0.26357182587971006,0.3497278457501707,0.3168039759475282,9.41426,18.413097,15.983196,0.27263027,-0.098097384,-0.19361193
11,11,7,7,0.799145519733429,7,0.8594098687171936,7,0.8684437274932861,0.6005859375,0.48828125,0.095703125,0.284949315229021,0.10271477739968694,0.19527941679327226,3.949744,10.71326,8.930845,0.03562738,-0.32038468,0.21194072
12,12,23,31,0.2918793857097626,31,0.2540861964225769,23,0.28225988149642944,0.4541015625,0.314453125,0.166015625,0.24476636177511554,0.20555671912743834,0.15406152891312516,6.731723,6.88734,5.134405,0.4632491,0.3415507,0.33340216
13,13,7,7,0.6511209607124329,7,0.4360186755657196,5,0.4953363835811615,0.3251953125,0.267578125,0.166015625,0.28832893621995775,0.14765450820607462,0.1927812967527298,10.385208,11.453786,7.7123528,0.503311,0.27147165,0.39195615
14,14,4,4,0.8021430969238281,4,0.9335612654685974,4,0.8321145176887512,0.298828125,0.427734375,0.109375,0.09544447999068138,0.02764314957590748,0.08937904513814013,6.4163117,9.563869,12.231647,0.23833482,0.3331985,-0.03706556
15,15,9,9,0.9259328246116638,9,0.9562959671020508,9,0.8991011381149292,0.5322265625,0.625,0.1474609375,0.29882214475959723,0.21756103238815036,0.11385256136383087,1.680874,4.249354,4.4398427,0.34138736,0.2702456,0.17226397
16,16,21,21,0.6630712151527405,21,0.796212375164032,21,0.47402000427246094,0.3134765625,0.29296875,0.060546875,0.032091726905175984,0.042554872481196826,0.025092698571774444,10.1767,11.2773,11.5882845,0.08533353,0.04692025,0.22299643
17,17,20,23,0.30379632115364075,23,0.3864856958389282,23,0.4221976101398468,0.4365234375,0.306640625,0.1943359375,0.06000813922770975,0.005584010891358463,0.06158456829417582,4.9509645,5.239721,2.867395,0.01941013,-0.0822597,0.26806802
18,18,27,11,0.35554105043411255,27,0.8117355108261108,27,0.42494016885757446,0.29296875,0.2685546875,0.0625,0.3645436497720889,0.16509713758182423,0.42165284163939987,12.913859,16.86209,18.914148,0.231181,0.07376683,-0.02148685
19,19,38,38,0.9267981648445129,38,0.8523398041725159,38,0.8710602521896362,0.3857421875,0.3046875,0.283203125,0.18458426988796073,0.18192766819367978,0.30428898043017805,5.6747375,5.2381353,3.6732988,0.18116656,0.07308072,0.11265959
20,20,4,4,0.9894800186157227,4,0.9980893731117249,4,0.9882893562316895,0.578125,0.740234375,0.646484375,0.04968425342285375,0.058638226833952714,0.009090485965729015,3.7550492,1.1365033,4.1618824,0.6364827,0.36014274,0.322628
21,21,33,33,0.9974988102912903,33,0.9956672191619873,33,0.9700021743774414,1.0,1.0,0.7763671875,0.05673696370140461,0.04867789120270352,0.039931644298929335,0.07142601,0.37247607,0.37324235,0.0699516,0.13352409,0.12052993
